"Отметка времени","What dorm do you live in?","Your dormitory living status?","How would you rate the access system to kitchens?","How would you rate the access system to laundresses?","How would you rate the access system to common areas (fitness, gym, etc.)?","How would you rate the internet service?","How would you rate police services?","How would you rate the organization of events in the dormitory?","We would like to hear about your experience living in a dormitory. Please share any specific problems or difficulties you have encountered!","Thank you for your participation in the research!
We will be glad if you appreciate the results of the survey."
"2024/02/18 3:31:32 PM GMT+1","Ferka Urbánka","Student","1","1","5","1","5","3","Otvorte kuchyne a vytvorte bezplatné pripojenie Wi-Fi, umožnite prístup na internet z počítača","4"
"2024/02/18 3:36:30 PM GMT+1","Jedlíkova 9","Student","1","3","3","4","3","3","The hostel's approach to students. Checks can happen at any time of the day, no matter whether you are busy or not. This needs to be corrected and some specific check time should be created. Dormitory also need to set clear requirements for cleanliness. Because any box lying somewhere creates a subject of dispute between students and inspectors.","5"
"2024/02/18 3:42:32 PM GMT+1","Jedlíkova 9","Student","1","3","4","3","5","3","Access to kitchen is not existent , people with keys are always not available, washing machines are too expensive for no reason and have 0 setting except temperature. Internet is unstable 3 5 outages per month . Door on the entrance is broken for 6 month already .","5"
"2024/02/18 3:48:38 PM GMT+1","Ferka Urbánka","Student","2","3","4","2","3","4","Chcel by som aby upratovačky robili svoju robotu a nie riešiť problemy s čistotou zamykanim kuchyniek a nových spŕch. ","3"
"2024/02/18 3:50:20 PM GMT+1","Jedlíkova 13","Student","1","4","1","1","1","3","…","1"
"2024/02/18 3:51:14 PM GMT+1","Jedlíkova 5","Student","3","3","5","5","5","5",".","5"
"2024/02/18 3:52:43 PM GMT+1","Jedlíkova 5","Student","3","4","5","4","5","5","often there is no key to the washing machine","5"
"2024/02/18 4:03:27 PM GMT+1","Jedlíkova 5","Student","2","2","4","3","2","5","Acces to the kitchen","5"
"2024/02/18 4:09:19 PM GMT+1","Ferka Urbánka","Student","4","3","2","1","2","2","There is a bad police system in the dormitory (Ferma Urbanka) 
It is needs upgrading.","4"
"2024/02/18 4:10:10 PM GMT+1","Jedlíkova 5","Student","2","2","4","5","5","5","-","5"
"2024/02/18 4:16:44 PM GMT+1","Jedlíkova 13","Student","1","3","5","3","1","1","We need to do what we used to do with kitchens. Open them up! The gyms need to be repaired, because some of the exercise equipment is no longer suitable for use. You painted them, but why? They were a cool orange color. ","5"
"2024/02/18 4:37:47 PM GMT+1","Ferka Urbánka","Student","2","2","3","4","5","5","Very strict rules ","5"
"2024/02/18 4:50:02 PM GMT+1","Ferka Urbánka","Student","1","3","4","4","4","4","Zamknuté kuchyne, to je hrozne. Vždy prídem na vratnicu a niekto si požičiaval kľúče a nevrátil !!! A kuchynka stále zamknutá. Musím byt hladný !? ","5"
"2024/02/18 4:57:16 PM GMT+1","Jedlíkova 13","Student","2","1","4","2","3","3","Vždy, keď chcete získať kľúč od kuchyne, musíte prejsť cez celú chodbu a potom vyrušiť ľudí, ktorí tam žijú. To je veľmi nepríjemné, ak varíte trikrát denne alebo viac. Okrem toho som trochu rozpačitý z toho, že za pranie bielizne musíme zakaždým zaplatiť 4 eurá. ","3"
"2024/02/18 5:24:12 PM GMT+1","Ferka Urbánka","Student","1","3","1","1","5","3","Potrebujeme lepšu posilovnu na Urbankova, ona je mala a už všetko je tam staré.
A dajte možnosť študentom používať Hot Spoty","3"
"2024/02/18 5:51:10 PM GMT+1","Jedlíkova 9","Student","1","5","4","4","4","5","ключи от кухни находятся у словаков, которых нет половину недели, из-за этого туда вообще невозможно попасть","5"
"2024/02/18 6:07:43 PM GMT+1","Ferka Urbánka","Student","1","3","2","4","2","3","Horrible violation of the rules of silence. After 22:00 there are several rooms that constantly scream and play music on the speakers, despite the fact that the rest want to relax and sleep, and no one takes any action. Also, the fact that kitchens are closed is absolutely incomprehensible. I think it would be better to install video cameras, even dummies, but this would correct the situation.","4"
"2024/02/18 6:28:11 PM GMT+1","Jedlíkova 5","Student","3","3","5","5","5","4","Acces to kitchen n laundry like on jedlikova 13","5"
"2024/02/18 6:33:09 PM GMT+1","Jedlíkova 5","Student","3","2","4","5","3","4","Bolo by skvelé, keby boli izby viac-menej rovnaké a ich kvalita (rekonštrukcia, postele, kúpeľne) sa kontrolovala povedzme raz za semester.","4"
"2024/02/18 6:37:48 PM GMT+1","Ferka Urbánka","Student","2","4","2","1","2","5","Internet","2"
"2024/02/18 6:42:35 PM GMT+1","Ferka Urbánka","Student","1","1","3","1","5","5","A very inconvenient system with keys to the kitchen, first you go down to get it, then you go up to cook, you go down again... horror.  The next thing is the laundry room, after washing the clothes stink as if they dug up Hitler and dressed him in my clothes, he walked around in them and swam in the river again, I don’t know any other way to describe this smell, and washing costs 4 euros... is this 4 euros for Hitlers services?","5"
"2024/02/18 6:43:02 PM GMT+1","Jedlíkova 5","Student","3","4","5","4","3","4","Kitchens, a lot of things can be explained in the hostel, but not the kitchens.  The system of handing out keys to certain students to keep clean is not working at all, some students clog the kitchen surface as much as possible, this is not paid much attention to. The second problem is that the keys are hard to take, the person responsible for the keys is not always at home, early in the morning they just ignore to give them, also because of the rules, the kitchen is closed relatively early, because of this students can not heat up food after the evening work shift","4"
"2024/02/18 7:25:19 PM GMT+1","Jedlíkova 9","Student","1","3","2","2","4","1","No access to kitchen, it’s always closed. Tough system of getting keys to access it. ","4"
"2024/02/18 7:25:55 PM GMT+1","Jedlíkova 9","Student","3","1","4","4","4","2","As for me, i don’t like situations when u came to the laundry and see that all machines are busy","3"
"2024/02/18 7:43:34 PM GMT+1","Boženy Němcovej","Student","2","4","2","4","5","2","Rats","5"
"2024/02/18 7:56:04 PM GMT+1","Jedlíkova 5","Student","1","1","3","5","3","5","Very poor access to kitchen","5"
"2024/02/18 8:21:34 PM GMT+1","Jedlíkova 9","Student","1","5","3","4","2","4","6. poschodie v bloku A nemá kuchynku, čo hodnotím ako veľký nedostatok.","4"
"2024/02/18 8:38:19 PM GMT+1","Ferka Urbánka","Student","1","1","3","3","2","4",".","5"
"2024/02/18 10:06:15 PM GMT+1","Jedlíkova 9","Student","2","5","3","5","5","5"," access to the kitchen(i would want to open kitchen )","5"
"2024/02/18 10:29:31 PM GMT+1","Boženy Němcovej","Student","2","3","3","4","1","2","The shower and toilet is so dirty ","3"
"2024/02/19 10:18:28 AM GMT+1","Jedlíkova 13","Student","1","1","1","3","2","4","Це ж просто якийсь прикол, я нормально не можу ні до прачок дістатися, ні до кухні. Але усих це влаштовує, короче ми як ті терпили. Нам закрили кухні(коли вони завжди були відкритими), нам зробили платними прачки - а ми терпимо ","3"
"2024/02/19 11:49:36 AM GMT+1","Jedlíkova 9","Long-staying (dlhodobý)","1","3","4","4","4","5","I would point out parking lot as first. We have great place for parking in front of Jedlikova 9, I understand that such parkings can make money for dormitory but I dont really understand why would u make half of parking billable. This half of parking is empty for most of the time, so definitely the price is either to high, or there are not as much people willing to pay for parking in general as u expected. I would suggest you to either lower the price of paid parking spots or lower the number of paid parking spots. Also please mark paid parking spots so we know where not to park. 

The best solution would be to only mark paid spots, or employee reserved spots with some sort of signs, and any other spots would be considered as free, until someone pay the reservation for them.","5"
"2024/02/19 11:59:38 AM GMT+1","Jedlíkova 9","Student","5","1","3","5","5","3","й",""
"2024/02/19 12:04:20 PM GMT+1","Jedlíkova 9","Student","5","3","4","4","4","5","всё старое и поломанное. батареи не работают на полную мощность. плохая звукоизоляция","5"
"2024/02/19 12:12:31 PM GMT+1","Jedlíkova 5","Student","3","2","5","4","4","5","You have to constantly ask for the key to the kitchen. There are always no keys to the washing machines, although they are free. I pay money to wash my clothes and I shouldn't care if the washing machine is broken.
It also annoys me that it is forbidden to distribute the Internet (if this is possible in other hostels).","5"
"2024/02/19 12:43:53 PM GMT+1","Jedlíkova 9","Student","4","3","4","4","4","3","-","4"
"2024/02/19 1:04:40 PM GMT+1","Jedlíkova 5","Student","3","4","5","2","5","5",".","4"
"2024/02/19 1:11:41 PM GMT+1","Jedlíkova 5","Student","2","5","5","3","5","5","Furniture are broken and old. Repair are old.","5"
"2024/02/19 1:11:49 PM GMT+1","Jedlíkova 5","Student","2","3","3","3","5","5"," Old broken furniture ","4"
"2024/02/19 1:18:04 PM GMT+1","Jedlíkova 9","Student","2","4","4","5","4","4","-","4"
"2024/02/19 1:21:36 PM GMT+1","Jedlíkova 9","Student","1","3","2","5","3","3","navrhovali by sme dat kluce od kuchynky do kazdej izby na poschodi, alebo ju nechat otvorenu stale, alebo tam zriadit pristup na isic","3"
"2024/02/19 1:24:39 PM GMT+1","Jedlíkova 9","Student","1","4","3","4","3","2"," ",""
"2024/02/19 2:10:00 PM GMT+1","Jedlíkova 5","Student","5","2","5","5","5","3","Иногда не работают лифты в блоке ""А"" 
Стоят очень много стиральных машинок в прачке,но ключей мало","4"
"2024/02/19 2:17:52 PM GMT+1","Jedlíkova 9","Student","1","2","2","2","4","4","Weird internet connection (I mean not stable at all), elevators and access to the kitchen by keys ","5"
